iter	Passed	Remaining
0	154	154673
1	156	78150
2	158	52659
3	159	39837
4	161	32121
5	162	26954
6	164	23268
7	165	20501
8	166	18346
9	167	16627
10	169	15282
11	172	14194
12	173	13204
13	175	12344
14	177	11667
15	179	11016
16	180	10440
17	182	9933
18	183	9473
19	185	9077
20	187	8728
21	188	8389
22	190	8092
23	191	7804
24	194	7570
25	195	7330
26	197	7103
27	199	6932
28	201	6756
29	203	6575
30	205	6422
31	207	6265
32	208	6112
33	210	5976
34	211	5839
35	214	5739
36	216	5622
37	217	5509
38	219	5405
39	220	5300
40	222	5206
41	224	5110
42	225	5019
43	227	4934
44	228	4858
45	230	4780
46	231	4701
47	233	4630
48	234	4559
49	236	4491
50	237	4423
51	239	4360
52	240	4301
53	243	4272
54	245	4220
55	247	4166
56	248	4114
57	250	4062
58	251	4013
59	253	3964
60	254	3918
61	256	3879
62	258	3842
63	260	3808
64	262	3770
65	263	3731
66	265	3695
67	267	3667
68	269	3634
69	270	3599
70	273	3577
71	275	3544
72	276	3515
73	278	3482
74	280	3454
75	281	3423
76	282	3392
77	284	3362
78	285	3332
79	288	3312
80	289	3286
81	291	3265
82	292	3232
83	294	3207
84	295	3182
85	297	3157
86	298	3131
87	300	3112
88	304	3114
89	306	3096
90	308	3076
91	309	3056
92	311	3036
93	312	3014
94	314	2993
95	315	2973
96	317	2956
97	319	2937
98	320	2918
99	322	2901
100	323	2882
101	325	2865
102	326	2847
103	328	2830
104	330	2813
105	331	2799
106	334	2789
107	335	2773
108	337	2756
109	339	2743
110	340	2729
111	342	2713
112	343	2697
113	345	2681
114	347	2673
115	349	2660
116	350	2643
117	351	2628
118	353	2615
119	354	2602
120	356	2588
121	357	2572
122	359	2559
123	360	2549
124	362	2539
125	364	2526
126	365	2511
127	367	2501
128	368	2490
129	370	2479
130	372	2468
131	373	2457
132	376	2457
133	379	2449
134	381	2442
135	383	2434
136	385	2428
137	387	2418
138	389	2411
139	391	2404
140	393	2398
141	394	2385
142	396	2378
143	398	2367
144	399	2358
145	401	2349
146	403	2339
147	404	2330
148	408	2331
149	410	2323
150	411	2315
151	413	2306
152	415	2298
153	416	2290
154	418	2283
155	420	2275
156	423	2274
157	425	2269
158	427	2262
159	429	2255
160	430	2245
161	432	2238
162	434	2231
163	437	2227
164	439	2222
165	440	2215
166	443	2212
167	445	2205
168	447	2198
169	448	2191
170	452	2194
171	454	2187
172	456	2182
173	458	2177
174	460	2169
175	462	2163
176	463	2157
177	465	2151
178	467	2145
179	469	2140
180	471	2134
181	473	2130
182	475	2123
183	480	2128
184	481	2122
185	483	2116
186	491	2135
187	495	2139
188	497	2135
189	499	2129
190	501	2124
191	503	2118
192	505	2113
193	507	2110
194	511	2113
195	514	2108
196	516	2106
197	518	2100
198	520	2094
199	522	2090
200	525	2087
201	527	2081
202	529	2077
203	530	2071
204	532	2065
205	534	2061
206	538	2064
207	540	2059
208	547	2073
209	550	2069
